Total Nodes, User Nodes, Barabasi interconnection rate, Average routers per node, Routers, network_recovery_rate, p.intermediary_recovery_rate, p.per_tx_amount_limit, p.lockout_after_consolidation, p.client_preventions, p.collaberative_security, Statistics.online_tx, Statistics.online_tx_volume, Statistics.offline_tx, Statistics.offline_tx_volume, Statistics.fradulent_tx_attempted_sent, Statistics.fradulent_tx_attempted_sent_volume, Statistics.fradulent_tx_sent, Statistics.fradulent_tx_sent_volume, Statistics.fradulent_tx_detected, Statistics.fradulent_tx_detected_volume, Statistics.fradulent_tx_client_online_check, Statistics.fradulent_tx_client_online_check_volume, Statistics.fradulent_tx_client_prevention_prevented, Statistics.fradulent_tx_client_prevention_prevented_volume, Statistics.fradulent_tx_server_lockout_prevented, Statistics.fradulent_tx_server_lockout_prevented_volume
1002, 1000, 20, 1.0, 1, 1, 5, 1000, False, False, False, 8127, 811047, 866, 866000, 89, 89000, 89, 89000, 0, 0, 0, 0, 0, 0, 0, 0
1003, 1000, 20, 1.0, 2, 1, 5, 1000, False, False, False, 6683, 664668, 2276, 982444, 90, 90000, 62, 62000, 8, 8000, 28, 28000, 0, 0, 0, 0
1004, 1000, 20, 1.0, 3, 1, 5, 1000, False, False, False, 7134, 708694, 1838, 946096, 90, 90000, 73, 73000, 10, 10000, 17, 17000, 0, 0, 0, 0
1006, 1000, 20, 1.0, 5, 1, 5, 1000, False, False, False, 6661, 661839, 2305, 989721, 90, 90000, 70, 70000, 5, 5000, 20, 20000, 0, 0, 0, 0
1011, 1000, 20, 1.0, 10, 1, 5, 1000, False, False, False, 7640, 755128, 1342, 905992, 90, 90000, 82, 82000, 2, 2000, 8, 8000, 0, 0, 0, 0
1021, 1000, 20, 1.0, 20, 1, 5, 1000, False, False, False, 5337, 530205, 3632, 1127405, 90, 90000, 74, 74000, 7, 7000, 16, 16000, 0, 0, 0, 0
1051, 1000, 20, 1.0, 50, 1, 5, 1000, False, False, False, 7219, 722378, 1764, 951689, 90, 90000, 85, 85000, 4, 4000, 5, 5000, 0, 0, 0, 0
1101, 1000, 20, 1.0, 100, 1, 5, 1000, False, False, False, 7093, 711614, 1881, 949388, 90, 90000, 72, 72000, 19, 19000, 18, 18000, 0, 0, 0, 0
1251, 1000, 20, 1.0, 250, 1, 5, 1000, False, False, False, 7355, 730306, 1617, 924002, 89, 89000, 71, 71000, 5, 5000, 18, 18000, 0, 0, 0, 0
1501, 1000, 20, 1.0, 500, 1, 5, 1000, False, False, False, 5260, 524458, 3717, 1146340, 90, 90000, 83, 83000, 7, 7000, 7, 7000, 0, 0, 0, 0
2001, 1000, 20, 1.0, 1000, 1, 5, 1000, False, False, False, 6632, 657000, 2346, 1002566, 90, 90000, 78, 78000, 2, 2000, 12, 12000, 0, 0, 0, 0
1003, 1000, 20, 1.5, 2, 1, 5, 1000, False, False, False, 6651, 664704, 2321, 996285, 90, 90000, 74, 74000, 10, 10000, 16, 16000, 0, 0, 0, 0
1004, 1000, 20, 1.5, 3, 1, 5, 1000, False, False, False, 4284, 425383, 4678, 1233367, 90, 90000, 76, 76000, 5, 5000, 14, 14000, 0, 0, 0, 0
